,ACTIVE_LISTING_RATE,MIN_PRICE,MAX_PRICE,AVG_PRICE,MEDIAN_PRICE,DISTINCT_HOST_COUNT,AVG_REVIEW_SCORES_RATING,ACTIVE_PERCENTAGE_CHANGE,INACTIVE_PERCENTAGE_CHANGE,SUPERHOST_RATE,TOTAL_STAYING,AVERAGE_ESTIMATED_REVENUE
3482,100.000000,59,495,200.600000,90.500,10,93.400000,-13.203400,-13.636400,10.000000,313,1883634
3483,100.000000,59,495,200.600000,90.500,10,93.400000,4.064100,5.701800,10.000000,313,1883634
3484,100.000000,59,495,200.600000,90.500,10,93.400000,26.027000,28.630700,10.000000,313,1883634
3485,100.000000,59,495,200.600000,90.500,10,93.400000,-12.293100,-11.935500,10.000000,313,1883634
3486,100.000000,59,495,200.600000,90.500,10,93.400000,-0.780900,0.000000,10.000000,313,1883634
3487,100.000000,61,495,216.259259,134.000,9,92.500000,-0.320200,0.000000,11.111100,313,1827607
3488,100.000000,61,495,216.259259,134.000,9,92.500000,-0.895600,-0.362300,11.111100,313,1827607
3489,100.000000,61,495,216.259259,134.000,9,92.500000,-1.222200,0.363600,11.111100,313,1827607
3490,100.000000,61,495,193.291667,90.500,6,92.500000,-2.534000,0.000000,16.666700,233,1080887
3491,100.000000,74,1500,692.142857,98.000,3,98.000000,,,42.857100,46,222870
3492,100.000000,74,1500,692.142857,98.000,3,98.000000,0.691500,0.380200,42.857100,46,222870
3493,100.000000,1500,1500,1500.000000,1500.000,1,,-13.203400,-13.636400,100.000000,5,22500
3494,100.000000,1500,1500,1500.000000,1500.000,1,,4.064100,5.701800,100.000000,5,22500
3495,100.000000,18,300,49.656604,37.000,61,83.524194,,,1.132100,3966,52188594
3496,100.000000,18,300,49.712121,37.000,62,83.508065,0.691500,0.380200,1.136400,3921,51459204
3497,100.000000,21,268,48.875576,37.000,50,82.793478,-13.203400,-13.636400,1.382500,3165,33567990
3498,100.000000,22,300,51.812500,37.000,50,82.418367,4.064100,5.701800,1.339300,3140,36442840
3499,100.000000,22,300,52.880435,38.500,57,83.616541,26.027000,28.630700,1.087000,4416,64451520
3500,100.000000,22,300,51.310204,38.000,57,83.098214,-12.293100,-11.935500,2.449000,3786,47593806
3501,100.000000,22,300,50.929515,38.000,55,86.230000,-0.780900,0.000000,1.321600,3724,43053164
3502,100.000000,21,300,51.110553,37.000,55,88.461538,-0.656700,1.098900,1.507500,3703,37663213
3503,100.000000,21,300,51.110553,37.000,55,88.461538,-0.320200,0.000000,1.507500,3703,37663213
3504,100.000000,21,300,51.968750,38.000,53,88.445946,-0.895600,-0.362300,1.562500,3660,36519480
3505,100.000000,21,300,51.968750,38.000,53,88.445946,-1.222200,0.363600,1.562500,3660,36519480
3506,100.000000,35,300,117.857143,66.000,8,80.000000,,,14.285700,246,608850
3507,100.000000,35,300,117.857143,66.000,8,80.000000,0.691500,0.380200,14.285700,246,608850
3508,100.000000,35,300,110.266667,65.000,5,,-13.203400,-13.636400,20.000000,121,200134
3509,100.000000,35,250,92.125000,65.500,6,93.000000,4.064100,5.701800,18.750000,186,274164
3510,100.000000,35,250,99.833333,65.500,7,80.000000,26.027000,28.630700,12.500000,371,888916
3511,100.000000,35,115,67.187500,58.000,6,80.000000,-12.293100,-11.935500,18.750000,240,258000
3512,100.000000,35,115,67.187500,58.000,6,80.000000,-0.780900,0.000000,18.750000,240,258000
3513,100.000000,35,115,67.187500,58.000,6,80.000000,-0.656700,1.098900,18.750000,240,258000
3514,100.000000,35,115,67.187500,58.000,6,80.000000,-0.320200,0.000000,18.750000,240,258000
3515,100.000000,35,115,61.071429,50.500,5,67.000000,-0.895600,-0.362300,21.428600,181,154755
3516,100.000000,35,115,61.071429,50.500,5,67.000000,-1.222200,0.363600,21.428600,181,154755
3517,100.000000,35,115,61.071429,50.500,5,67.000000,-2.534000,0.000000,21.428600,181,154755
3518,100.000000,300,300,300.000000,300.000,1,100.000000,,,100.000000,85,76500
3519,100.000000,300,300,300.000000,300.000,1,100.000000,0.691500,0.380200,100.000000,85,76500
3520,100.000000,300,300,300.000000,300.000,1,100.000000,-13.203400,-13.636400,100.000000,85,76500
3521,100.000000,296,296,296.000000,296.000,1,,-0.320200,0.000000,100.000000,30,8880
3522,100.000000,296,296,296.000000,296.000,1,,-0.895600,-0.362300,100.000000,30,8880
3523,100.000000,296,296,296.000000,296.000,1,,-1.222200,0.363600,100.000000,30,8880
3524,100.000000,296,296,296.000000,296.000,1,,-2.534000,0.000000,100.000000,30,8880
